instName, numOfJobs, gap, timeCost,,,,,,,
L_00000000,10,0,0.178,,,,,,,
L_00000001,10,0,0.03,,,,,,,
L_00000002,10,0,0.023,,,,,,,
L_00000003,10,0,0.025,,,,,,,
L_00000004,10,0,0.011,,,,,,,
L_00000005,10,0,0.027,,,,,,,
L_00000006,10,0,0.013,,,,,,,
L_00000007,10,0,0.035,,,,,,,
L_00000008,10,0,0.017,,,,,,,
L_00000009,10,0,0.024,,,,,,,
L_00000010,10,0,0.02,,,,,,,
L_00000011,10,0,0.016,,,,,,,
L_00000012,10,0,0.013,,,,,,,
L_00000013,10,0,0.011,,,,,,,
L_00000014,10,0,0.012,,,,,,,
L_00000015,10,0,0.019,,,,,,,
L_00000016,10,0,0.014,,,,,,,
L_00000017,10,0,0.012,,,,,,,
L_00000018,10,0,0.018,,,,,,,
L_00000019,10,0,0.02,,,,,,,
L_00000020,10,0,0.006,,,,,,,
L_00000021,10,0,0.014,,,,,,,
L_00000022,10,0,0.025,,,,,,,
L_00000023,10,0,0.016,,,,,,,
L_00000024,10,0,0.01,,,,,,,
L_00000025,10,0,0.009,,,,,,,
L_00000026,10,0,0.014,,,,,,,
L_00000027,10,0,0.007,,,,,,,
L_00000028,10,0,0.011,,,,,,,
L_00000029,10,0,0.01,,,,,,,
L_00000030,10,0,0.027,,,,,,,
L_00000031,10,0,0.018,,,,,,,
L_00000032,10,0,0.017,,,,,,,
L_00000033,10,0,0.016,,,,,,,
L_00000034,10,0,0.019,,,,,,,
L_00000035,10,0,0.016,,,,,,,
L_00000036,10,0,0.011,,,,,,,
L_00000037,10,0,0.02,,,,,,,
L_00000038,10,0,0.013,,,,,,,
L_00000039,10,0,0.013,,,,,,,
L_00000040,10,0,0.011,,,,,,,
L_00000041,10,0,0.017,,,,,,,
L_00000042,10,0,0.013,,,,,,,
L_00000043,10,0,0.01,,,,,,,
L_00000044,10,0,0.01,,,,,,,
L_00000045,10,0,0.014,,,,,,,
L_00000046,10,0,0.014,,,,,,,
L_00000047,10,0,0.007,,,,,,,
L_00000048,10,0,0.012,,,,,,,
L_00000049,10,0,0.01,,,,,,,
,,,,,,,,,,
L_00000050,20,0,9.049,,,,,,,
L_00000051,20,0,105.962,,,,,,,
L_00000052,20,0.225,4154.072,,,,,,,
L_00000053,20,0,1.822,,,,,,,
L_00000054,20,0,58.071,,,,,,,
L_00000055,20,0,21.926,,,,,,,
L_00000056,20,0,73.114,,,,,,,
L_00000057,20,0.149,3600.042,,,,,,,
L_00000058,20,0,62.817,,,,,,,
L_00000059,20,0,230.508,,,,,,,
L_00000060,20,0,97.593,,,,,,,
L_00000061,20,0,22.428,,,,,,,
L_00000062,20,0,11.863,,,,,,,
L_00000063,20,0,138.522,,,,,,,
L_00000064,20,0,3.899,,,,,,,
L_00000065,20,0,15.171,,,,,,,
L_00000066,20,0,5.114,,,,,,,
L_00000067,20,0,7.714,,,,,,,
L_00000068,20,0,0.09,,,,,,,
L_00000069,20,0,100.701,,,,,,,
