instName, numOfJobs, algoName, timeLimit, feasible, optimal, globalUB, globalLB, gap, rootUB, rootLB, timeCost, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, numSolvedNodes, numPrunedByInfeasibility, numPrunedByOptimality, numPrunedByBound, numNodes, numLeftNodes
L_00000000, 10, Branch And Price, 3600, true, true, 229.000, 229.000, 0.000, 0.000, 207.778, 0.122, 0.087, 0.094, 0.023, 0.045, 3, 1, 1, 0, 3, 0
L_00000001, 10, Branch And Price, 3600, true, true, 340.000, 340.000, 0.000, 0.000, 332.000, 0.025, 0.022, 0.024, 0.003, 0.018, 3, 0, 1, 1, 3, 0
L_00000002, 10, Branch And Price, 3600, true, true, 254.000, 254.000, 0.000, 0.000, 237.400, 0.022, 0.018, 0.022, 0.013, 0.009, 3, 1, 1, 0, 3, 0
L_00000003, 10, Branch And Price, 3600, true, true, 338.000, 338.000, 0.000, 0.000, 329.800, 0.020, 0.011, 0.019, 0.003, 0.012, 3, 0, 1, 1, 3, 0
L_00000004, 10, Branch And Price, 3600, true, true, 189.000, 189.000, 0.000, 189.000, 189.000, 0.006, 0.006, 0.006, 0.002, 0.001, 1, 0, 1, 0, 1, 0
L_00000005, 10, Branch And Price, 3600, true, true, 307.000, 307.000, 0.000, 0.000, 295.700, 0.019, 0.018, 0.019, 0.005, 0.014, 3, 0, 1, 1, 3, 0
L_00000006, 10, Branch And Price, 3600, true, true, 351.000, 351.000, 0.000, 0.000, 344.100, 0.017, 0.014, 0.016, 0.005, 0.009, 3, 0, 1, 1, 3, 0
L_00000007, 10, Branch And Price, 3600, true, true, 268.000, 268.000, 0.000, 0.000, 252.800, 0.020, 0.011, 0.013, 0.005, 0.005, 3, 0, 1, 1, 3, 0
L_00000008, 10, Branch And Price, 3600, true, true, 247.000, 247.000, 0.000, 0.000, 229.700, 0.013, 0.011, 0.011, 0.004, 0.004, 3, 1, 1, 0, 3, 0
L_00000009, 10, Branch And Price, 3600, true, true, 357.000, 357.000, 0.000, 0.000, 350.700, 0.017, 0.012, 0.016, 0.003, 0.011, 3, 0, 1, 1, 3, 0
L_00000010, 10, Branch And Price, 3600, true, true, 251.000, 251.000, 0.000, 0.000, 234.100, 0.014, 0.012, 0.014, 0.002, 0.009, 3, 1, 1, 0, 3, 0
L_00000011, 10, Branch And Price, 3600, true, true, 300.000, 300.000, 0.000, 0.000, 288.000, 0.010, 0.008, 0.009, 0.005, 0.005, 3, 0, 1, 1, 3, 0
L_00000012, 10, Branch And Price, 3600, true, true, 238.000, 238.000, 0.000, 0.000, 218.794, 0.014, 0.011, 0.012, 0.004, 0.005, 3, 1, 1, 0, 3, 0
L_00000013, 10, Branch And Price, 3600, true, true, 236.000, 236.000, 0.000, 0.000, 214.518, 0.010, 0.008, 0.009, 0.003, 0.004, 3, 1, 1, 0, 3, 0
L_00000014, 10, Branch And Price, 3600, true, true, 240.000, 240.000, 0.000, 0.000, 222.000, 0.015, 0.013, 0.013, 0.001, 0.009, 3, 1, 1, 0, 3, 0
L_00000015, 10, Branch And Price, 3600, true, true, 226.000, 226.000, 0.000, 0.000, 203.350, 0.009, 0.008, 0.008, 0.003, 0.003, 3, 1, 1, 0, 3, 0
L_00000016, 10, Branch And Price, 3600, true, true, 279.000, 279.000, 0.000, 0.000, 264.900, 0.011, 0.009, 0.011, 0.003, 0.004, 3, 0, 1, 1, 3, 0
L_00000017, 10, Branch And Price, 3600, true, true, 367.000, 367.000, 0.000, 0.000, 361.700, 0.011, 0.006, 0.009, 0.004, 0.005, 3, 0, 1, 1, 3, 0
L_00000018, 10, Branch And Price, 3600, true, true, 285.000, 285.000, 0.000, 0.000, 271.500, 0.011, 0.009, 0.011, 0.004, 0.006, 3, 0, 1, 1, 3, 0
L_00000019, 10, Branch And Price, 3600, true, true, 264.000, 264.000, 0.000, 0.000, 248.400, 0.010, 0.009, 0.010, 0.004, 0.004, 3, 1, 1, 0, 3, 0
L_00000020, 10, Branch And Price, 3600, true, true, 196.000, 196.000, 0.000, 196.000, 196.000, 0.005, 0.004, 0.004, 0.001, 0.002, 1, 0, 1, 0, 1, 0
L_00000021, 10, Branch And Price, 3600, true, true, 322.000, 322.000, 0.000, 0.000, 312.200, 0.012, 0.009, 0.010, 0.002, 0.006, 3, 0, 1, 1, 3, 0
L_00000022, 10, Branch And Price, 3600, true, true, 257.000, 257.000, 0.000, 0.000, 240.700, 0.020, 0.019, 0.020, 0.004, 0.009, 3, 1, 1, 0, 3, 0
L_00000023, 10, Branch And Price, 3600, true, true, 336.000, 336.000, 0.000, 0.000, 327.600, 0.013, 0.010, 0.012, 0.003, 0.007, 3, 0, 1, 1, 3, 0
L_00000024, 10, Branch And Price, 3600, true, true, 263.000, 263.000, 0.000, 0.000, 247.300, 0.010, 0.008, 0.009, 0.002, 0.004, 3, 0, 1, 1, 3, 0
L_00000025, 10, Branch And Price, 3600, true, true, 273.000, 273.000, 0.000, 0.000, 258.300, 0.011, 0.007, 0.010, 0.002, 0.005, 3, 0, 1, 1, 3, 0
L_00000026, 10, Branch And Price, 3600, true, true, 323.000, 323.000, 0.000, 0.000, 313.300, 0.015, 0.010, 0.014, 0.004, 0.006, 3, 0, 1, 1, 3, 0
L_00000027, 10, Branch And Price, 3600, true, true, 193.000, 193.000, 0.000, 193.000, 193.000, 0.006, 0.005, 0.005, 0.001, 0.001, 1, 0, 1, 0, 1, 0
L_00000028, 10, Branch And Price, 3600, true, true, 252.000, 252.000, 0.000, 0.000, 234.271, 0.010, 0.008, 0.009, 0.002, 0.005, 3, 1, 1, 0, 3, 0
L_00000029, 10, Branch And Price, 3600, true, true, 265.000, 265.000, 0.000, 0.000, 249.500, 0.008, 0.007, 0.007, 0.001, 0.004, 3, 0, 1, 1, 3, 0
L_00000030, 10, Branch And Price, 3600, true, true, 311.000, 311.000, 0.000, 0.000, 300.100, 0.010, 0.008, 0.009, 0.004, 0.004, 3, 0, 1, 1, 3, 0
L_00000031, 10, Branch And Price, 3600, true, true, 309.000, 309.000, 0.000, 0.000, 297.900, 0.014, 0.008, 0.013, 0.007, 0.005, 3, 0, 1, 1, 3, 0
L_00000032, 10, Branch And Price, 3600, true, true, 373.000, 373.000, 0.000, 0.000, 368.300, 0.013, 0.010, 0.011, 0.005, 0.003, 3, 0, 1, 1, 3, 0
L_00000033, 10, Branch And Price, 3600, true, true, 240.000, 240.000, 0.000, 0.000, 222.000, 0.013, 0.012, 0.012, 0.001, 0.004, 3, 1, 1, 0, 3, 0
L_00000034, 10, Branch And Price, 3600, true, true, 182.000, 182.000, 0.000, 182.000, 182.000, 0.008, 0.006, 0.006, 0.001, 0.001, 1, 0, 1, 0, 1, 0
L_00000035, 10, Branch And Price, 3600, true, true, 320.000, 320.000, 0.000, 0.000, 310.000, 0.009, 0.008, 0.008, 0.001, 0.004, 3, 0, 1, 1, 3, 0
L_00000036, 10, Branch And Price, 3600, true, true, 265.000, 265.000, 0.000, 0.000, 249.500, 0.011, 0.008, 0.008, 0.001, 0.003, 3, 0, 1, 1, 3, 0
L_00000037, 10, Branch And Price, 3600, true, true, 269.000, 269.000, 0.000, 0.000, 253.900, 0.014, 0.012, 0.013, 0.002, 0.005, 3, 0, 1, 1, 3, 0
L_00000038, 10, Branch And Price, 3600, true, true, 229.000, 229.000, 0.000, 0.000, 207.778, 0.010, 0.008, 0.009, 0.003, 0.003, 3, 1, 1, 0, 3, 0
L_00000039, 10, Branch And Price, 3600, true, true, 301.000, 301.000, 0.000, 0.000, 289.100, 0.012, 0.010, 0.012, 0.002, 0.003, 3, 0, 1, 1, 3, 0
L_00000040, 10, Branch And Price, 3600, true, true, 253.000, 253.000, 0.000, 0.000, 236.300, 0.011, 0.009, 0.009, 0.001, 0.003, 3, 1, 1, 0, 3, 0
L_00000041, 10, Branch And Price, 3600, true, true, 287.000, 287.000, 0.000, 0.000, 273.700, 0.021, 0.016, 0.018, 0.005, 0.007, 3, 0, 1, 1, 3, 0
L_00000042, 10, Branch And Price, 3600, true, true, 311.000, 311.000, 0.000, 0.000, 300.100, 0.014, 0.011, 0.013, 0.005, 0.004, 3, 0, 1, 1, 3, 0
L_00000043, 10, Branch And Price, 3600, true, true, 236.000, 236.000, 0.000, 0.000, 217.600, 0.011, 0.010, 0.011, 0.003, 0.004, 3, 1, 1, 0, 3, 0
L_00000044, 10, Branch And Price, 3600, true, true, 302.000, 302.000, 0.000, 0.000, 290.200, 0.010, 0.009, 0.009, 0.002, 0.004, 3, 0, 1, 1, 3, 0
