algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
Branch And Price,L_00000000,10,true,60, 0.076, 229,229, 2, 22, 13, 0
Branch And Price,L_00000001,10,true,60, 0.009, 340,340, 2, 24, 13, 0
Branch And Price,L_00000002,10,true,60, 0.008, 254,254, 2, 24, 13, 0
Branch And Price,L_00000003,10,true,60, 0.008, 338,338, 2, 25, 13, 0
Branch And Price,L_00000004,10,true,60, 0.002, 189,189, 2, 20, 13, 0
Branch And Price,L_00000005,10,true,60, 0.008, 307,307, 2, 24, 13, 0
Branch And Price,L_00000006,10,true,60, 0.008, 351,351, 2, 25, 13, 0
Branch And Price,L_00000007,10,true,60, 0.007, 268,268, 2, 23, 13, 0
Branch And Price,L_00000008,10,true,60, 0.008, 247,247, 2, 23, 13, 0
Branch And Price,L_00000009,10,true,60, 0.012, 357,357, 2, 25, 13, 0
Branch And Price,L_00000010,10,true,60, 0.008, 251,251, 2, 23, 13, 0
Branch And Price,L_00000011,10,true,60, 0.013, 300,300, 2, 24, 13, 0
Branch And Price,L_00000012,10,true,60, 0.006, 238,238, 2, 23, 13, 0
Branch And Price,L_00000013,10,true,60, 0.004, 236,236, 2, 24, 13, 0
Branch And Price,L_00000014,10,true,60, 0.005, 240,240, 2, 23, 13, 0
Branch And Price,L_00000015,10,true,60, 0.006, 226,226, 2, 22, 13, 0
Branch And Price,L_00000016,10,true,60, 0.005, 279,279, 2, 23, 13, 0
Branch And Price,L_00000017,10,true,60, 0.008, 367,367, 2, 26, 13, 0
Branch And Price,L_00000018,10,true,60, 0.009, 285,285, 2, 25, 13, 0
Branch And Price,L_00000019,10,true,60, 0.003, 264,264, 2, 23, 13, 0
Branch And Price,L_00000020,10,true,60, 0.003, 196,196, 2, 20, 13, 0
Branch And Price,L_00000021,10,true,60, 0.004, 322,322, 2, 23, 13, 0
Branch And Price,L_00000022,10,true,60, 0.003, 257,257, 2, 23, 13, 0
Branch And Price,L_00000023,10,true,60, 0.007, 336,336, 2, 26, 13, 0
Branch And Price,L_00000024,10,true,60, 0.004, 263,263, 2, 22, 13, 0
Branch And Price,L_00000025,10,true,60, 0.009, 273,273, 2, 25, 13, 0
Branch And Price,L_00000026,10,true,60, 0.004, 323,323, 2, 23, 13, 0
Branch And Price,L_00000027,10,true,60, 0.004, 193,193, 2, 20, 13, 0
Branch And Price,L_00000028,10,true,60, 0.015, 252,252, 2, 23, 13, 0
Branch And Price,L_00000029,10,true,60, 0.009, 265,265, 2, 24, 13, 0
Branch And Price,L_00000030,10,true,60, 0.007, 311,311, 2, 24, 13, 0
Branch And Price,L_00000031,10,true,60, 0.007, 309,309, 2, 23, 13, 0
Branch And Price,L_00000032,10,true,60, 0.006, 373,373, 2, 25, 13, 0
Branch And Price,L_00000033,10,true,60, 0.011, 240,240, 2, 24, 13, 0
Branch And Price,L_00000034,10,true,60, 0.001, 182,182, 2, 20, 13, 0
Branch And Price,L_00000035,10,true,60, 0.010, 320,320, 2, 23, 13, 0
Branch And Price,L_00000036,10,true,60, 0.005, 265,265, 2, 22, 13, 0
Branch And Price,L_00000037,10,true,60, 0.009, 269,269, 2, 23, 13, 0
Branch And Price,L_00000038,10,true,60, 0.005, 229,229, 2, 22, 13, 0
Branch And Price,L_00000039,10,true,60, 0.005, 301,301, 2, 23, 13, 0
Branch And Price,L_00000040,10,true,60, 0.002, 253,253, 2, 22, 13, 0
Branch And Price,L_00000041,10,true,60, 0.007, 287,287, 2, 25, 13, 0
Branch And Price,L_00000042,10,true,60, 0.003, 311,311, 2, 24, 13, 0
Branch And Price,L_00000043,10,true,60, 0.006, 236,236, 2, 24, 13, 0
Branch And Price,L_00000044,10,true,60, 0.008, 302,302, 2, 23, 13, 0
Branch And Price,L_00000045,10,true,60, 0.011, 262,262, 2, 24, 13, 0
Branch And Price,L_00000046,10,true,60, 0.000, 171,171, 2, 20, 13, 0
Branch And Price,L_00000047,10,true,60, 0.003, 189,189, 2, 20, 13, 0
Branch And Price,L_00000048,10,true,60, 0.004, 310,310, 2, 25, 13, 0
Branch And Price,L_00000049,10,true,60, 0.007, 274,274, 2, 24, 13, 0
Branch And Price,L_00000050,20,true,60, 2.096, 487,487, 2, 418, 23, 0
Branch And Price,L_00000051,20,true,60, 0.007, 315,315, 2, 44, 23, 0
