algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
Mixed Integer Linear Programming,L_00000000,10,true, 60.0, 0.032, 229, 229, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000001,10,true, 60.0, 0.054, 340, 340, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000002,10,true, 60.0, 0.020, 254, 254, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000003,10,true, 60.0, 0.031, 338, 338, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000004,10,true, 60.0, 0.012, 189, 189, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000005,10,true, 60.0, 0.030, 307, 307, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000006,10,true, 60.0, 0.059, 351, 351, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000007,10,true, 60.0, 0.030, 268, 268, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000008,10,true, 60.0, 0.022, 247, 247, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000009,10,true, 60.0, 0.033, 357, 357, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000010,10,true, 60.0, 0.022, 251, 251, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000011,10,true, 60.0, 0.032, 300, 300, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000012,10,true, 60.0, 0.049, 238, 238, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000013,10,true, 60.0, 0.046, 236, 236, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000014,10,true, 60.0, 0.047, 240, 240, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000015,10,true, 60.0, 0.021, 226, 226, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000016,10,true, 60.0, 0.023, 279, 279, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000017,10,true, 60.0, 0.070, 367, 367, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000018,10,true, 60.0, 0.027, 285, 285, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000019,10,true, 60.0, 0.035, 264, 264, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000020,10,true, 60.0, 0.013, 196, 196, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000021,10,true, 60.0, 0.049, 322, 322, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000022,10,true, 60.0, 0.071, 257, 257, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000023,10,true, 60.0, 0.094, 336, 336, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000024,10,true, 60.0, 0.095, 263, 263, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000025,10,true, 60.0, 0.036, 273, 273, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000026,10,true, 60.0, 0.037, 323, 323, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000027,10,true, 60.0, 0.014, 193, 193, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000028,10,true, 60.0, 0.125, 252, 252, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000029,10,true, 60.0, 0.026, 265, 265, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000030,10,true, 60.0, 0.031, 311, 311, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000031,10,true, 60.0, 0.071, 309, 309, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000032,10,true, 60.0, 0.092, 373, 373, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000033,10,true, 60.0, 0.046, 240, 240, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000034,10,true, 60.0, 0.015, 182, 182, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000035,10,true, 60.0, 0.042, 320, 320, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000036,10,true, 60.0, 0.042, 265, 265, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000037,10,true, 60.0, 0.050, 269, 269, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000038,10,true, 60.0, 0.105, 229, 229, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000039,10,true, 60.0, 0.057, 301, 301, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000040,10,true, 60.0, 0.034, 253, 253, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000041,10,true, 60.0, 0.083, 287, 287, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000042,10,true, 60.0, 0.077, 311, 311, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000043,10,true, 60.0, 0.052, 236, 236, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000044,10,true, 60.0, 0.098, 302, 302, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000045,10,true, 60.0, 0.084, 262, 262, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000046,10,true, 60.0, 0.019, 171, 171, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000047,10,true, 60.0, 0.014, 189, 189, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000048,10,true, 60.0, 0.092, 310, 310, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000049,10,true, 60.0, 0.043, 274, 274, 2, 121, 51, 0
Mixed Integer Linear Programming,L_00000050,20,true, 60.0, 0.140, 468, 468, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000051,20,true, 60.0, 0.131, 315, 315, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000052,20,true, 60.0, 0.212, 445, 445, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000053,20,true, 60.0, 0.161, 572, 572, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000054,20,true, 60.0, 0.127, 519, 519, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000055,20,true, 60.0, 0.134, 540, 540, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000056,20,true, 60.0, 0.185, 484, 484, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000057,20,true, 60.0, 3.028, 673, 673, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000058,20,true, 60.0, 0.184, 545, 545, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000059,20,true, 60.0, 0.139, 524, 524, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000060,20,true, 60.0, 0.099, 552, 552, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000061,20,true, 60.0, 0.158, 549, 549, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000062,20,true, 60.0, 0.155, 567, 567, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000063,20,true, 60.0, 0.226, 525, 525, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000064,20,true, 60.0, 0.241, 624, 624, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000065,20,true, 60.0, 0.157, 551, 551, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000066,20,true, 60.0, 0.166, 555, 555, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000067,20,true, 60.0, 0.168, 588, 588, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000068,20,true, 60.0, 0.143, 402, 402, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000069,20,true, 60.0, 0.133, 359, 359, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000070,20,true, 60.0, 0.144, 511, 511, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000071,20,true, 60.0, 0.124, 516, 516, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000072,20,true, 60.0, 0.151, 492, 492, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000073,20,true, 60.0, 0.195, 555, 555, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000074,20,true, 60.0, 0.139, 588, 588, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000075,20,true, 60.0, 0.160, 500, 500, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000076,20,true, 60.0, 0.365, 453, 453, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000077,20,true, 60.0, 0.134, 530, 530, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000078,20,true, 60.0, 0.148, 614, 614, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000079,20,true, 60.0, 0.139, 595, 595, 2, 441, 101, 0
