instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints
L_00000495,100,1 , 3600.0,25.566 , true, true,215.0,2976, 2976, 0.000 , 0.081, 25.485,10201, 501
L_00000496,100,1 , 3600.0,19.608 , true, true,73.0,2886, 2886, 0.000 , 0.022, 19.586,10201, 501
L_00000497,100,1 , 3600.0,32.964 , true, true,121.0,3025, 3025, 0.000 , 0.034, 32.930,10201, 501
L_00000498,100,1 , 3600.0,12.612 , true, true,80.0,2774, 2774, 0.000 , 0.023, 12.589,10201, 501
L_00000499,100,1 , 3600.0,8.831 , true, true,55.0,2654, 2654, 0.000 , 0.023, 8.808,10201, 501
L_00000500,150,1 , 3600.0,126.487 , true, true,90.0,4073, 4073, 0.000 , 0.037, 126.450,22801, 751
L_00000501,150,1 , 3600.0,1589.909 , true, true,1000.0,4038, 4038, 0.000 , 0.026, 1589.883,22801, 751
L_00000502,150,1 , 3600.0,769.229 , true, true,241.0,4050, 4050, 0.000 , 0.034, 769.195,22801, 751
L_00000503,150,1 , 3600.0,116.571 , true, true,660.0,4119, 4119, 0.000 , 0.033, 116.538,22801, 751
L_00000504,150,1 , 3600.0,779.497 , true, true,441.0,4080, 4080, 0.000 , 0.029, 779.468,22801, 751
L_00000505,150,1 , 3600.0,979.092 , true, true,585.0,4030, 4030, 0.000 , 0.029, 979.063,22801, 751
L_00000506,150,1 , 3600.0,88.190 , true, true,569.0,4427, 4427, 0.000 , 0.031, 88.159,22801, 751
L_00000507,150,1 , 3600.0,179.505 , true, true,591.0,4220, 4220, 0.000 , 0.029, 179.476,22801, 751
L_00000508,150,1 , 3600.0,151.000 , true, true,598.0,4289, 4289, 0.000 , 0.030, 150.970,22801, 751
L_00000509,150,1 , 3600.0,74.831 , true, true,588.0,4359, 4359, 0.000 , 0.029, 74.802,22801, 751
L_00000510,150,1 , 3600.0,189.336 , true, true,690.0,4283, 4283, 0.000 , 0.027, 189.309,22801, 751
L_00000511,150,1 , 3600.0,110.004 , true, true,88.0,4268, 4268, 0.000 , 0.029, 109.975,22801, 751
L_00000512,150,1 , 3600.0,67.764 , true, true,602.0,4206, 4206, 0.000 , 0.119, 67.645,22801, 751
L_00000513,150,1 , 3600.0,36.694 , true, true,105.0,4124, 4124, 0.000 , 0.028, 36.666,22801, 751
L_00000514,150,1 , 3600.0,80.509 , true, true,679.0,4486, 4486, 0.000 , 0.029, 80.480,22801, 751
L_00000515,150,1 , 3600.0,238.525 , true, true,159.0,4490, 4490, 0.000 , 0.033, 238.492,22801, 751
L_00000516,150,1 , 3600.0,114.060 , true, true,591.0,4127, 4127, 0.000 , 0.034, 114.026,22801, 751
L_00000517,150,1 , 3600.0,513.671 , true, true,239.0,4188, 4188, 0.000 , 0.030, 513.641,22801, 751
L_00000518,150,1 , 3600.0,4061.181 , false, false,87.0,infeasible, 3889, 5.031 , 0.030, 4061.151,22801, 751
