instName, numOfJobs, numOfThreads, timeLimit, feasible, optimal, globalUB, globalLB, gap,rootUB, rootLB, timeCost, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, timeOnHeuristics, cntRMPCall, cntPPCall, cntHeuristicsCall, numOfNodes, numOfNodesSolved, numOfNodesRemained, numOfNodesPrunedByInfeasible, numOfNodesPrunedByBound, numOfNodesPrunedByOptimal, numOfLabels, numOfLabelsPrunedByLb, numOfLabelsDominated
L_00000400,90,1,3600,1,1,2730.000, 2730.000, 0.000, 2735.000, 2719.000,4.209, 1.725, 3.605, 0.697, 2.315, 0.108,83, 63, 61,83,62,21,1,0,0,361577,340122,4928,
L_00000401,90,1,3600,1,1,2338.000, 2338.000, 0.000, 2339.000, 2332.000,1.532, 0.351, 1.393, 0.393, 0.888, 0.027,52, 52, 21,43,22,21,1,0,0,446116,413175,5967,
L_00000402,90,1,3600,1,1,2570.000, 2570.000, 0.000, 2571.000, 2565.000,0.487, 0.353, 0.453, 0.049, 0.391, 0.010,17, 17, 2,5,3,2,1,0,0,187511,174629,4066,
L_00000403,90,1,3600,1,1,2390.000, 2390.000, 0.000, 2396.000, 2389.000,1.982, 0.339, 1.763, 0.434, 1.142, 0.042,65, 64, 37,73,38,35,1,0,0,539374,510214,4102,
L_00000404,90,1,3600,1,1,2728.000, 2728.000, 0.000, 2732.000, 2717.000,29.428, 0.395, 27.277, 3.689, 15.911, 0.158,579, 405, 528,709,531,178,3,0,0,1660599,1592912,5757,
L_00000405,90,1,3600,1,1,2669.000, 2669.000, 0.000, 2671.000, 2652.000,0.948, 0.368, 0.916, 0.164, 0.625, 0.013,29, 29, 9,19,10,9,1,0,0,295371,277555,4355,
L_00000406,90,1,3600,1,1,2382.000, 2382.000, 0.000, 2382.000, 2381.000,0.523, 0.361, 0.501, 0.055, 0.419, 0.007,16, 16, 1,3,3,0,2,0,0,226257,207703,4725,
L_00000407,90,1,3600,1,1,2641.000, 2641.000, 0.000, 2646.000, 2622.000,2.026, 0.767, 1.974, 0.232, 1.649, 0.012,27, 26, 6,11,7,4,1,0,0,509560,477004,7690,
L_00000408,90,1,3600,1,1,2536.000, 2536.000, 0.000, 2537.000, 2528.000,0.780, 0.422, 0.754, 0.070, 0.627, 0.010,21, 21, 4,9,5,4,1,0,0,288951,271282,4244,
L_00000409,90,1,3600,1,1,2526.000, 2526.000, 0.000, 2526.000, 2517.000,0.611, 0.423, 0.594, 0.066, 0.496, 0.004,17, 17, 1,3,3,0,2,0,0,199597,184642,4849,
