instName, numOfJobs, numOfThreads, timeLimit, feasible, optimal, globalUB, globalLB, gap,rootUB, rootLB, timeCost, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, timeOnHeuristics, cntRMPCall, cntPPCall, cntHeuristicsCall, numOfNodes, numOfNodesSolved, numOfNodesRemained, numOfNodesPrunedByInfeasible, numOfNodesPrunedByBound, numOfNodesPrunedByOptimal, numOfLabels, numOfLabelsPrunedByLb, numOfLabelsDominated
L_00000260,60,1,3600,1,1,1670.000, 1670.000, 0.000, 1670.000, 1663.000,0.691, 0.462, 0.575, 0.065, 0.465, 0.022,14, 14, 1,3,3,0,1,1,0,63776,58690,929,
L_00000261,60,1,3600,1,1,1793.000, 1793.000, 0.000, 1805.000, 1777.000,368.849, 0.222, 359.174, 44.959, 123.728, 0.432,4753, 4753, 2531,5061,3279,1782,1,747,0,73120158,62589323,5758,
L_00000262,60,1,3600,1,1,1672.000, 1672.000, 0.000, 1677.000, 1666.000,0.602, 0.119, 0.554, 0.071, 0.392, 0.020,31, 31, 14,29,15,14,1,0,0,205011,192001,1360,
L_00000263,60,1,3600,1,1,1614.000, 1614.000, 0.000, 1617.000, 1602.000,0.428, 0.114, 0.400, 0.074, 0.278, 0.012,28, 28, 10,21,11,10,1,0,0,184528,172333,1547,
L_00000264,60,1,3600,1,1,1637.000, 1637.000, 0.000, 1637.000, 1627.000,0.266, 0.122, 0.247, 0.024, 0.209, 0.007,12, 12, 1,3,3,0,1,1,0,101329,92438,1564,
L_00000265,60,1,3600,1,1,1813.000, 1813.000, 0.000, 1814.000, 1799.000,0.545, 0.122, 0.520, 0.060, 0.405, 0.009,26, 26, 9,19,11,8,1,1,0,146543,136696,1560,
L_00000266,60,1,3600,1,1,1859.000, 1859.000, 0.000, 1859.000, 1849.000,0.159, 0.097, 0.145, 0.019, 0.110, 0.005,16, 16, 1,3,3,0,1,1,0,75132,67297,1245,
L_00000267,60,1,3600,1,1,1615.000, 1615.000, 0.000, 1616.000, 1603.000,0.165, 0.080, 0.142, 0.025, 0.106, 0.009,14, 14, 2,5,3,2,1,0,0,68371,62182,1283,
L_00000268,60,1,3600,1,1,1727.000, 1727.000, 0.000, 1727.000, 1726.000,0.164, 0.099, 0.148, 0.023, 0.110, 0.006,13, 13, 1,3,3,0,1,1,0,68475,62867,1532,
L_00000269,60,1,3600,1,1,1794.000, 1794.000, 0.000, 1794.000, 1778.000,0.215, 0.132, 0.201, 0.029, 0.160, 0.005,15, 15, 1,3,3,0,1,1,0,102307,92594,2273,
L_00000270,60,1,3600,1,1,1552.000, 1552.000, 0.000, 1553.000, 1534.000,4.165, 0.101, 4.061, 1.248, 0.715, 0.025,243, 243, 116,233,218,15,1,101,0,400221,377119,1106,
L_00000271,60,1,3600,1,1,1559.000, 1559.000, 0.000, 1559.000, 1541.000,0.221, 0.085, 0.207, 0.026, 0.172, 0.004,13, 13, 1,3,3,0,1,1,0,112028,104171,1255,
L_00000272,60,1,3600,1,1,1698.000, 1698.000, 0.000, 1698.000, 1694.000,0.159, 0.095, 0.143, 0.021, 0.110, 0.006,13, 13, 1,3,3,0,1,1,0,72926,65207,1592,
L_00000273,60,1,3600,1,1,1833.000, 1833.000, 0.000, 1836.000, 1821.000,0.518, 0.266, 0.494, 0.058, 0.385, 0.012,28, 28, 11,23,12,11,1,0,0,211764,193554,4236,
