 globalUB-MILP,, globalUB,,gap
229,,229,,0
340,,340,,0
254,,254,,0
338,,338,,0
189,,189,,0
307,,307,,0
351,,351,,0
268,,268,,0
247,,247,,0
357,,357,,0
251,,251,,0
300,,300,,0
238,,238,,0
236,,236,,0
240,,240,,0
226,,226,,0
279,,279,,0
367,,367,,0
285,,285,,0
264,,264,,0
196,,196,,0
322,,322,,0
257,,257,,0
336,,336,,0
263,,263,,0
273,,273,,0
323,,323,,0
193,,193,,0
252,,252,,0
265,,265,,0
311,,311,,0
309,,309,,0
373,,373,,0
240,,240,,0
182,,182,,0
320,,320,,0
265,,265,,0
269,,269,,0
229,,229,,0
301,,301,,0
253,,253,,0
287,,287,,0
311,,311,,0
236,,236,,0
302,,302,,0
262,,262,,0
171,,171,,0
189,,189,,0
310,,310,,0
274,,274,,0
468,,468,,0
315,,315,,0
445,,445,,0
572,,572,,0
519,,519,,0
540,,540,,0
484,,484,,0
673,,673,,0
545,,545,,0
524,,524,,0
552,,552,,0
549,,549,,0
567,,567,,0
525,,525,,0
624,,624,,0
551,,551,,0
555,,555,,0
588,,588,,0
402,,402,,0
359,,359,,0
511,,511,,0
516,,516,,0
492,,492,,0
555,,555,,0
588,,588,,0
500,,500,,0
453,,453,,0
530,,530,,0
614,,614,,0
595,,595,,0
527,,527,,0
543,,543,,0
619,,619,,0
518,,518,,0
537,,537,,0
480,,480,,0
517,,517,,0
449,,449,,0
594,,594,,0
615,,615,,0
512,,512,,0
516,,516,,0
538,,538,,0
516,,516,,0
615,,615,,0
672,,672,,0
580,,580,,0
723,,723,,0
633,,633,,0
451,,451,,0
858,,858,,0
855,,855,,0
936,,936,,0
893,,893,,0
726,,726,,0
834,,834,,0
843,,843,,0
933,,933,,0
805,,805,,0
897,,897,,0
783,,783,,0
807,,807,,0
758,,758,,0
782,,782,,0
987,,987,,0
813,,813,,0
784,,784,,0
900,,900,,0
850,,850,,0
932,,932,,0
1079,,1079,,0
817,,817,,0
743,,743,,0
810,,810,,0
809,,809,,0
847,,847,,0
811,,811,,0
915,,915,,0
823,,823,,0
828,,828,,0
833,,833,,0
1044,,1044,,0
850,,850,,0
820,,820,,0
886,,886,,0
961,,961,,0
832,,832,,0
801,,801,,0
838,,838,,0
908,,908,,0
834,,834,,0
680,,680,,0
713,,713,,0
755,,755,,0
775,,775,,0
789,,789,,0
836,,836,,0
772,,772,,0
825,,825,,0
814,,814,,0
1220,,1220,,0
1140,,1140,,0
