instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,rootUB, rootLB, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, timeOnHeuristics, cntRMPCall, cntPPCall, cntHeuristicsCall, numSolvedNodes, numPrunedByInfeasibility, numPrunedByOptimality, numPrunedByBound, numLeftNodes, numNewLabel, numDominatedLabel, numPrunedLabel, timeOnLabelLb
L_00000000,10,1,3600,0.043,true,true,3,229.000, 229.000, 0.000, 229.000, 208.000,0.024, 0.028, 0.007, 0.009, 0.003,4, 4, 1,3,1,0,1,0,391,258,0,0.004
L_00000001,10,1,3600,0.008,true,true,3,340.000, 340.000, 0.000, 340.000, 332.000,0.005, 0.006, 0.001, 0.002, 0.000,4, 4, 1,3,1,0,1,0,241,153,17,0.0
L_00000002,10,1,3600,0.007,true,true,3,254.000, 254.000, 0.000, 256.000, 238.000,0.005, 0.006, 0.007, 0.000, 0.000,4, 4, 1,3,1,1,0,0,146,76,0,0.0
L_00000003,10,1,3600,0.009,true,true,3,338.000, 338.000, 0.000, 338.000, 330.000,0.007, 0.008, 0.004, 0.003, 0.000,4, 4, 1,3,1,0,1,0,370,206,81,0.001
L_00000004,10,1,3600,0.001,true,true,1,189.000, 189.000, 0.000, 189.000, 189.000,0.001, 0.001, 0.001, 0.000, 0.000,1, 1, 0,1,0,1,0,0,10,0,0,0.0
L_00000005,10,1,3600,0.007,true,true,3,307.000, 307.000, 0.000, 310.000, 296.000,0.004, 0.005, 0.002, 0.002, 0.000,4, 4, 1,3,1,1,0,0,237,143,11,0.001
L_00000006,10,1,3600,0.006,true,true,3,351.000, 351.000, 0.000, 351.000, 345.000,0.004, 0.005, 0.002, 0.001, 0.000,4, 4, 1,3,1,0,1,0,244,120,0,0.001
L_00000007,10,1,3600,0.006,true,true,3,268.000, 268.000, 0.000, 271.000, 253.000,0.004, 0.005, 0.005, 0.001, 0.000,4, 4, 1,3,1,1,0,0,216,103,0,0.001
L_00000008,10,1,3600,0.005,true,true,3,247.000, 247.000, 0.000, 249.000, 230.000,0.002, 0.003, 0.005, 0.000, 0.001,4, 4, 1,3,1,1,0,0,267,152,0,0.0
L_00000009,10,1,3600,0.009,true,true,3,357.000, 357.000, 0.000, 357.000, 351.000,0.005, 0.009, 0.004, 0.004, 0.000,6, 6, 1,3,1,0,1,0,983,565,113,0.001
