instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints, gurobiModelStatus
L_00000000, 10, 1, 3600.0, 0.058, true, true, 1, 229, 229, 0.000 , 0.018, 0.040, 121, 51, 2
L_00000001, 10, 1, 3600.0, 0.019, true, true, 1, 340, 340, 0.000 , 0.001, 0.018, 121, 51, 2
L_00000002, 10, 1, 3600.0, 0.042, true, true, 1, 254, 254, 0.000 , 0.001, 0.041, 121, 51, 2
L_00000003, 10, 1, 3600.0, 0.086, true, true, 76, 338, 338, 0.000 , 0.001, 0.085, 121, 51, 2
L_00000004, 10, 1, 3600.0, 0.013, true, true, 1, 189, 189, 0.000 , 0.000, 0.013, 121, 51, 2
L_00000005, 10, 1, 3600.0, 0.073, true, true, 1, 307, 307, 0.000 , 0.000, 0.073, 121, 51, 2
L_00000006, 10, 1, 3600.0, 0.040, true, true, 7, 351, 351, 0.000 , 0.001, 0.039, 121, 51, 2
L_00000007, 10, 1, 3600.0, 0.016, true, true, 1, 268, 268, 0.000 , 0.001, 0.015, 121, 51, 2
L_00000008, 10, 1, 3600.0, 0.062, true, true, 6, 247, 247, 0.000 , 0.001, 0.061, 121, 51, 2
L_00000009, 10, 1, 3600.0, 0.038, true, true, 1, 357, 357, 0.000 , 0.001, 0.037, 121, 51, 2
L_00000010, 10, 1, 3600.0, 0.018, true, true, 1, 251, 251, 0.000 , 0.001, 0.017, 121, 51, 2
L_00000011, 10, 1, 3600.0, 0.024, true, true, 1, 300, 300, 0.000 , 0.000, 0.024, 121, 51, 2
L_00000012, 10, 1, 3600.0, 0.037, true, true, 1, 238, 238, 0.000 , 0.001, 0.036, 121, 51, 2
L_00000013, 10, 1, 3600.0, 0.066, true, true, 30, 236, 236, 0.000 , 0.000, 0.066, 121, 51, 2
L_00000014, 10, 1, 3600.0, 0.017, true, true, 1, 240, 240, 0.000 , 0.001, 0.016, 121, 51, 2
L_00000015, 10, 1, 3600.0, 0.034, true, true, 1, 226, 226, 0.000 , 0.001, 0.033, 121, 51, 2
L_00000016, 10, 1, 3600.0, 0.031, true, true, 1, 279, 279, 0.000 , 0.001, 0.030, 121, 51, 2
L_00000017, 10, 1, 3600.0, 0.023, true, true, 1, 367, 367, 0.000 , 0.001, 0.022, 121, 51, 2
L_00000018, 10, 1, 3600.0, 0.029, true, true, 1, 285, 285, 0.000 , 0.001, 0.028, 121, 51, 2
L_00000019, 10, 1, 3600.0, 0.044, true, true, 1, 264, 264, 0.000 , 0.001, 0.043, 121, 51, 2
L_00000020, 10, 1, 3600.0, 0.014, true, true, 1, 196, 196, 0.000 , 0.001, 0.013, 121, 51, 2
L_00000021, 10, 1, 3600.0, 0.064, true, true, 3, 322, 322, 0.000 , 0.001, 0.063, 121, 51, 2
L_00000022, 10, 1, 3600.0, 0.056, true, true, 11, 257, 257, 0.000 , 0.001, 0.055, 121, 51, 2
L_00000023, 10, 1, 3600.0, 0.026, true, true, 1, 336, 336, 0.000 , 0.000, 0.026, 121, 51, 2
L_00000024, 10, 1, 3600.0, 0.056, true, true, 7, 263, 263, 0.000 , 0.000, 0.056, 121, 51, 2
L_00000025, 10, 1, 3600.0, 0.024, true, true, 1, 273, 273, 0.000 , 0.000, 0.024, 121, 51, 2
L_00000026, 10, 1, 3600.0, 0.044, true, true, 24, 323, 323, 0.000 , 0.001, 0.043, 121, 51, 2
L_00000027, 10, 1, 3600.0, 0.011, true, true, 1, 193, 193, 0.000 , 0.000, 0.011, 121, 51, 2
L_00000028, 10, 1, 3600.0, 0.058, true, true, 20, 252, 252, 0.000 , 0.001, 0.057, 121, 51, 2
L_00000029, 10, 1, 3600.0, 0.061, true, true, 1, 265, 265, 0.000 , 0.000, 0.061, 121, 51, 2
L_00000030, 10, 1, 3600.0, 0.053, true, true, 5, 311, 311, 0.000 , 0.001, 0.052, 121, 51, 2
L_00000031, 10, 1, 3600.0, 0.033, true, true, 1, 309, 309, 0.000 , 0.000, 0.033, 121, 51, 2
L_00000032, 10, 1, 3600.0, 0.019, true, true, 1, 373, 373, 0.000 , 0.000, 0.019, 121, 51, 2
L_00000033, 10, 1, 3600.0, 0.051, true, true, 1, 240, 240, 0.000 , 0.000, 0.051, 121, 51, 2
L_00000034, 10, 1, 3600.0, 0.012, true, true, 1, 182, 182, 0.000 , 0.000, 0.012, 121, 51, 2
L_00000035, 10, 1, 3600.0, 0.022, true, true, 1, 320, 320, 0.000 , 0.000, 0.022, 121, 51, 2
L_00000036, 10, 1, 3600.0, 0.017, true, true, 1, 265, 265, 0.000 , 0.000, 0.017, 121, 51, 2
L_00000037, 10, 1, 3600.0, 0.029, true, true, 1, 269, 269, 0.000 , 0.000, 0.029, 121, 51, 2
L_00000038, 10, 1, 3600.0, 0.081, true, true, 19, 229, 229, 0.000 , 0.001, 0.080, 121, 51, 2
L_00000039, 10, 1, 3600.0, 0.084, true, true, 60, 301, 301, 0.000 , 0.001, 0.083, 121, 51, 2
