instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints
L_00000000,10,1 , 3600.0,0.090 , true, true,1.0,229, 229, 0.000 , 0.019, 0.071,121, 51
L_00000001,10,1 , 3600.0,0.019 , true, true,1.0,340, 340, 0.000 , 0.002, 0.017,121, 51
L_00000002,10,1 , 3600.0,0.041 , true, true,1.0,254, 254, 0.000 , 0.001, 0.040,121, 51
L_00000003,10,1 , 3600.0,0.082 , true, true,76.0,338, 338, 0.000 , 0.000, 0.082,121, 51
L_00000004,10,1 , 3600.0,0.014 , true, true,1.0,189, 189, 0.000 , 0.001, 0.013,121, 51
L_00000005,10,1 , 3600.0,0.073 , true, true,1.0,307, 307, 0.000 , 0.001, 0.072,121, 51
L_00000006,10,1 , 3600.0,0.040 , true, true,7.0,351, 351, 0.000 , 0.001, 0.039,121, 51
L_00000007,10,1 , 3600.0,0.015 , true, true,1.0,268, 268, 0.000 , 0.000, 0.015,121, 51
L_00000008,10,1 , 3600.0,0.061 , true, true,6.0,247, 247, 0.000 , 0.000, 0.061,121, 51
L_00000009,10,1 , 3600.0,0.032 , true, true,1.0,357, 357, 0.000 , 0.000, 0.032,121, 51
L_00000010,10,1 , 3600.0,0.014 , true, true,1.0,251, 251, 0.000 , 0.001, 0.013,121, 51
L_00000011,10,1 , 3600.0,0.023 , true, true,1.0,300, 300, 0.000 , 0.001, 0.022,121, 51
L_00000012,10,1 , 3600.0,0.036 , true, true,1.0,238, 238, 0.000 , 0.001, 0.035,121, 51
L_00000013,10,1 , 3600.0,0.066 , true, true,30.0,236, 236, 0.000 , 0.001, 0.065,121, 51
L_00000014,10,1 , 3600.0,0.016 , true, true,1.0,240, 240, 0.000 , 0.000, 0.016,121, 51
L_00000015,10,1 , 3600.0,0.033 , true, true,1.0,226, 226, 0.000 , 0.000, 0.033,121, 51
L_00000016,10,1 , 3600.0,0.031 , true, true,1.0,279, 279, 0.000 , 0.001, 0.030,121, 51
L_00000017,10,1 , 3600.0,0.022 , true, true,1.0,367, 367, 0.000 , 0.000, 0.022,121, 51
L_00000018,10,1 , 3600.0,0.028 , true, true,1.0,285, 285, 0.000 , 0.000, 0.028,121, 51
L_00000019,10,1 , 3600.0,0.043 , true, true,1.0,264, 264, 0.000 , 0.001, 0.042,121, 51
L_00000020,10,1 , 3600.0,0.014 , true, true,1.0,196, 196, 0.000 , 0.001, 0.013,121, 51
L_00000021,10,1 , 3600.0,0.064 , true, true,3.0,322, 322, 0.000 , 0.001, 0.063,121, 51
L_00000022,10,1 , 3600.0,0.057 , true, true,11.0,257, 257, 0.000 , 0.001, 0.056,121, 51
L_00000023,10,1 , 3600.0,0.026 , true, true,1.0,336, 336, 0.000 , 0.001, 0.025,121, 51
L_00000024,10,1 , 3600.0,0.057 , true, true,7.0,263, 263, 0.000 , 0.001, 0.056,121, 51
L_00000025,10,1 , 3600.0,0.024 , true, true,1.0,273, 273, 0.000 , 0.000, 0.024,121, 51
L_00000026,10,1 , 3600.0,0.043 , true, true,24.0,323, 323, 0.000 , 0.001, 0.042,121, 51
L_00000027,10,1 , 3600.0,0.012 , true, true,1.0,193, 193, 0.000 , 0.000, 0.012,121, 51
L_00000028,10,1 , 3600.0,0.057 , true, true,20.0,252, 252, 0.000 , 0.000, 0.057,121, 51
L_00000029,10,1 , 3600.0,0.061 , true, true,1.0,265, 265, 0.000 , 0.000, 0.061,121, 51
L_00000030,10,1 , 3600.0,0.052 , true, true,5.0,311, 311, 0.000 , 0.000, 0.052,121, 51
L_00000031,10,1 , 3600.0,0.033 , true, true,1.0,309, 309, 0.000 , 0.000, 0.033,121, 51
L_00000032,10,1 , 3600.0,0.019 , true, true,1.0,373, 373, 0.000 , 0.000, 0.019,121, 51
L_00000033,10,1 , 3600.0,0.052 , true, true,1.0,240, 240, 0.000 , 0.001, 0.051,121, 51
L_00000034,10,1 , 3600.0,0.013 , true, true,1.0,182, 182, 0.000 , 0.000, 0.013,121, 51
L_00000035,10,1 , 3600.0,0.021 , true, true,1.0,320, 320, 0.000 , 0.000, 0.021,121, 51
L_00000036,10,1 , 3600.0,0.017 , true, true,1.0,265, 265, 0.000 , 0.000, 0.017,121, 51
L_00000037,10,1 , 3600.0,0.029 , true, true,1.0,269, 269, 0.000 , 0.000, 0.029,121, 51
L_00000038,10,1 , 3600.0,0.079 , true, true,19.0,229, 229, 0.000 , 0.000, 0.079,121, 51
L_00000039,10,1 , 3600.0,0.085 , true, true,60.0,301, 301, 0.000 , 0.001, 0.084,121, 51
L_00000040,10,1 , 3600.0,0.023 , true, true,1.0,253, 253, 0.000 , 0.001, 0.022,121, 51
L_00000041,10,1 , 3600.0,0.058 , true, true,3.0,287, 287, 0.000 , 0.001, 0.057,121, 51
L_00000042,10,1 , 3600.0,0.068 , true, true,10.0,311, 311, 0.000 , 0.000, 0.068,121, 51
L_00000043,10,1 , 3600.0,0.018 , true, true,1.0,236, 236, 0.000 , 0.000, 0.018,121, 51
L_00000044,10,1 , 3600.0,0.042 , true, true,3.0,302, 302, 0.000 , 0.000, 0.042,121, 51
L_00000045,10,1 , 3600.0,0.051 , true, true,7.0,262, 262, 0.000 , 0.001, 0.050,121, 51
L_00000046,10,1 , 3600.0,0.008 , true, true,1.0,171, 171, 0.000 , 0.001, 0.007,121, 51
L_00000047,10,1 , 3600.0,0.008 , true, true,1.0,189, 189, 0.000 , 0.000, 0.008,121, 51
L_00000048,10,1 , 3600.0,0.020 , true, true,1.0,310, 310, 0.000 , 0.001, 0.019,121, 51
L_00000049,10,1 , 3600.0,0.028 , true, true,1.0,274, 274, 0.000 , 0.001, 0.027,121, 51
L_00000050,20,1 , 3600.0,0.144 , true, true,10.0,468, 468, 0.000 , 0.001, 0.143,441, 101
L_00000051,20,1 , 3600.0,0.091 , true, true,6.0,315, 315, 0.000 , 0.001, 0.090,441, 101
L_00000052,20,1 , 3600.0,0.170 , true, true,38.0,445, 445, 0.000 , 0.002, 0.168,441, 101
L_00000053,20,1 , 3600.0,0.191 , true, true,6.0,572, 572, 0.000 , 0.001, 0.190,441, 101
L_00000054,20,1 , 3600.0,0.130 , true, true,6.0,519, 519, 0.000 , 0.001, 0.129,441, 101
L_00000055,20,1 , 3600.0,0.166 , true, true,6.0,540, 540, 0.000 , 0.001, 0.165,441, 101
L_00000056,20,1 , 3600.0,0.177 , true, true,11.0,484, 484, 0.000 , 0.001, 0.176,441, 101
L_00000057,20,1 , 3600.0,2.714 , true, true,4630.0,673, 673, 0.000 , 0.001, 2.713,441, 101
L_00000058,20,1 , 3600.0,0.144 , true, true,6.0,545, 545, 0.000 , 0.002, 0.142,441, 101
L_00000059,20,1 , 3600.0,0.141 , true, true,7.0,524, 524, 0.000 , 0.001, 0.140,441, 101
L_00000060,20,1 , 3600.0,0.158 , true, true,6.0,552, 552, 0.000 , 0.001, 0.157,441, 101
L_00000061,20,1 , 3600.0,0.165 , true, true,6.0,549, 549, 0.000 , 0.001, 0.164,441, 101
L_00000062,20,1 , 3600.0,0.175 , true, true,6.0,567, 567, 0.000 , 0.001, 0.174,441, 101
L_00000063,20,1 , 3600.0,0.158 , true, true,6.0,525, 525, 0.000 , 0.001, 0.157,441, 101
L_00000064,20,1 , 3600.0,0.169 , true, true,6.0,624, 624, 0.000 , 0.001, 0.168,441, 101
L_00000065,20,1 , 3600.0,0.140 , true, true,6.0,551, 551, 0.000 , 0.001, 0.139,441, 101
L_00000066,20,1 , 3600.0,0.197 , true, true,6.0,555, 555, 0.000 , 0.002, 0.195,441, 101
L_00000067,20,1 , 3600.0,0.161 , true, true,6.0,588, 588, 0.000 , 0.001, 0.160,441, 101
L_00000068,20,1 , 3600.0,0.128 , true, true,4.0,402, 402, 0.000 , 0.001, 0.127,441, 101
L_00000069,20,1 , 3600.0,0.075 , true, true,1.0,359, 359, 0.000 , 0.002, 0.073,441, 101
